theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,24.0,0.7,fixed,,lensed_22-24,326,0,0,0.0,6.246696041402611e-05,0.0030210597680867366,1.5050851949451728e-06,0.007669871652222565,2.3055794240419966e-05,1.1308208213079196,True
0.5,0.9,24.0,0.7,fixed,,lensed_24-27,59,0,0,0.0,0.0003439122339909759,0.016521881392920452,8.287394964413508e-06,0.04150856726453842,2.7466146014387156e-05,0.32660186846377487,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.2246565728532668e-05,1.5148401099443436,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,1.8230427486968116e-05,2.8647221270729513,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,24-25,168,0,0,0.0,0.00012112470337032898,0.005849754743158055,2.9184742930896795e-06,0.014818884532030443,2.2537539491818228e-05,1.1678971978170531,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,25-26,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,2.6159281215162286e-05,0.45808990207719213,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_20-22,115,0,0,0.0,0.00017682115366804264,0.008528364184041801,4.260584441802642e-06,0.02155965966117857,1.7274707191657242e-05,3.2130691911863245,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_22-24,326,0,0,0.0,6.246696041402611e-05,0.0030210597680867366,1.5050851949451728e-06,0.007669871652222565,2.3055794240419966e-05,1.1308208213079196,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_24-27,59,0,0,0.0,0.0003439122339909759,0.016521881392920452,8.287394964413508e-06,0.04150856726453842,2.7466146014387156e-05,0.32660186846377487,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.2246565728532668e-05,1.5148401099443436,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,1.8230427486968116e-05,2.8647221270729513,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,24-25,168,0,0,0.0,0.00012112470337032898,0.005849754743158055,2.9184742930896795e-06,0.014818884532030443,2.2537539491818228e-05,1.1678971978170531,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,25-26,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,2.6159281215162286e-05,0.45808990207719213,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_20-22,115,0,0,0.0,0.00017682115366804264,0.008528364184041801,4.260584441802642e-06,0.02155965966117857,1.7274707191657242e-05,3.2130691911863245,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_22-24,326,0,0,0.0,6.246696041402611e-05,0.0030210597680867366,1.5050851949451728e-06,0.007669871652222565,2.3055794240419966e-05,1.1308208213079196,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_24-27,59,0,0,0.0,0.0003439122339909759,0.016521881392920452,8.287394964413508e-06,0.04150856726453842,2.7466146014387156e-05,0.32660186846377487,True
0.5,0.9,24.5,0.3,fixed,,all,500,15,0,0.03,0.023315341267229603,0.038550272465823855,0.01764046386572944,0.04776791682721319,0.01768994582733745,2.3869084015488626,True
